st_code_snd,st_code_rsv,date_depart_year,date_depart_month,date_depart_week,date_depart_day,date_depart_hour,fr_id,route_type,is_load,rod,common_ch,vidsobst,distance,snd_org_id,rsv_org_id,snd_roadid,rsv_roadid,snd_dp_id,rsv_dp_id,y
happy:)pgkrailway:)2022,newyearwagonpgkwagon:)wagon,2021,9,37,16,21,2261.0,4.0,0,8,9.0,111.0,262.0,2974,1311,0,0,4,4,59.28333333333333
railwayhappyrailway:)wagon,railwaytutupgkpgk:)digital,2021,11,48,30,4,1524.0,4.0,1,2,19.0,102.0,1176.0,1323,2082,0,0,0,67,163.58333333333334
2022happywagondigital:)happy,wagonnewyeardigital:):)hack,2022,2,8,22,11,2261.0,3.0,0,8,9.0,102.0,188.0,2974,4387,28,28,115,115,9.783333333333333
hacknewyearrailway:):)railway,hacknewyearhappyrailway:)pgk,2020,8,35,26,15,1612.0,4.0,1,8,9.0,101.0,168.0,9413,7986,30,30,22,18,15.333333333333334
railwaytutupgkpgk:)digital,railwaytutupgkhack:):),2021,12,52,29,8,100056.0,4.0,0,8,9.0,111.0,332.0,2974,6145,21,21,111,111,53.516666666666666
tutupgkdigitalrailway:)hack,railwaypgkhack:):)hack,2022,3,11,17,12,1677.0,4.0,1,8,9.0,102.0,5581.0,2129,1661,27,27,125,59,251.81666666666666
pgk2022newyear:)pgk,happy:)pgkrailway:)2022,2020,5,22,30,15,618.0,1.0,1,8,9.0,103.0,1119.0,2135,1290,0,0,3,29,46.016666666666666
railwayhackhackrailway:)newyear,2022tutu2022:):)pgk,2021,5,18,3,4,1642.0,4.0,1,8,9.0,205.0,3544.0,1305,8730,6,6,56,105,407.8833333333333
railwaytutupgkpgk:)digital,railwaytutupgkdigital:)hack,2021,12,51,22,16,2261.0,3.0,0,8,9.0,102.0,112.0,2974,1311,0,0,4,4,2.8666666666666667
2022newyearhackdigital:)tutu,2022newyearpgkhappy:)newyear,2020,10,44,30,9,1597.0,3.0,1,8,9.0,103.0,72.0,2957,2957,18,18,102,102,6.1
happy:)pgkwagon:):),happy:):)hack:)2022,2021,8,34,25,9,2261.0,3.0,0,8,9.0,111.0,188.0,2974,4387,28,28,115,115,7.75
2022tuturailwaydigital:)hack,2022newyear:)2022:)2022,2020,8,31,2,3,2261.0,1.0,0,5,,101.0,276.0,2974,1316,9,9,67,67,7.266666666666667
newyear2022hackhack:)2022,newyearnewyearnewyear:):)digital,2020,6,25,19,7,1481.0,4.0,1,2,19.0,101.0,663.0,3276,10709,21,21,111,112,76.81666666666666
newyearhack2022hack:)pgk,tutu2022:):):)hack,2020,8,33,11,9,1029.0,4.0,1,2,10.0,101.0,6946.0,13813,2897,20,20,106,116,281.53333333333336
railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2021,2,5,7,5,2261.0,3.0,0,8,9.0,101.0,189.0,2974,2657,0,0,1,2,30.75
railwaytutupgkhack:):),railwaytutupgkdigital:)hack,2021,2,7,20,14,2261.0,3.0,0,8,9.0,101.0,368.0,2974,1312,0,0,4,4,65.58333333333333
2022tutuwagonpgk:)2022,2022tutudigitaldigital:)tutu,2020,12,50,11,20,2261.0,3.0,0,8,9.0,101.0,574.0,2974,3790,18,18,103,102,67.11666666666666
hacknewyearnewyearwagon:)hack,wagonhappyrailwaywagon:)2022,2020,8,34,23,10,100057.0,4.0,0,10,18.0,103.0,1095.0,2974,2974,30,30,18,73,375.81666666666666
railwaynewyear2022tutu:)hack,railwayhappywagon2022:)pgk,2020,9,36,3,0,1063.0,3.0,1,9,2.0,101.0,800.0,10130,13337,6,6,56,57,231.16666666666666
happyrailwaytutu:)pgk,happypgkdigital:)wagon,2021,9,38,21,14,100056.0,4.0,0,8,975.0,102.0,171.0,2974,7377,21,21,110,111,47.38333333333333
tutudigital2022:):)railway,2022tutunewyear:):)railway,2021,4,15,12,23,1642.0,4.0,1,8,9.0,205.0,5431.0,1098,13927,28,28,134,105,548.1333333333333
newyear2022hackhappy:)digital,tutunewyear:)pgk:):),2020,12,53,29,18,743.0,3.0,1,8,9.0,101.0,5803.0,1310,1662,21,21,111,117,201.55
tutunewyear:)tutu:)wagon,newyearwagonpgkdigital:)tutu,2021,4,16,19,2,2261.0,4.0,0,8,9.0,102.0,85.0,2974,9408,30,30,17,17,23.833333333333332
tutudigitalwagonnewyear:)hack,tutudigitalhackrailway:)2022,2021,6,26,28,18,2261.0,4.0,0,8,9.0,102.0,383.0,1098,1098,23,23,14,10,28.166666666666668
newyearhack2022happy:)digital,newyearhackhackhack:)wagon,2021,5,21,26,3,1047.0,3.0,1,8,9.0,102.0,893.0,6733,5907,20,20,106,108,47.8
railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2020,12,51,18,22,2261.0,1.0,0,8,12.0,103.0,276.0,2974,1316,9,9,67,67,7.55
railwaytutupgkpgk:)digital,wagonhackhappynewyear:)railway,2021,8,32,10,9,750.0,4.0,1,8,9.0,102.0,471.0,2082,14145,9,9,67,70,105.58333333333333
newyearrailwaypgk2022:)newyear,2022wagondigital:)digital,2020,6,23,1,10,714.0,1.0,1,8,9.0,103.0,3840.0,2942,3110,21,21,121,1,123.96666666666667
railwayhappy:)pgk:)newyear,2022pgkpgkrailway:)digital,2021,11,47,27,16,3505.0,4.0,1,2,26.0,102.0,3347.0,8546,1098,6,6,135,92,450.3833333333333
hackhappyrailwayhappy:)hack,hackwagonnewyearhack:)newyear,2022,3,12,21,14,2261.0,4.0,0,9,2.0,102.0,116.0,2974,9492,9,9,67,67,104.48333333333333
hacktutudigitalrailway:)2022,pgkhappy:):):)newyear,2020,5,21,22,0,100056.0,4.0,0,8,9.0,101.0,97.0,2974,5819,30,30,16,16,15.533333333333333
pgkpgk2022tutu:)newyear,digitalhappynewyeardigital:)wagon,2020,7,27,4,2,2261.0,3.0,0,8,9.0,101.0,478.0,2974,1316,30,30,19,67,62.55
wagonhappypgk:):)2022,wagonhappynewyearrailway:)hack,2021,12,49,10,10,2261.0,4.0,0,7,35.0,102.0,511.0,1098,1098,13,13,81,84,47.68333333333333
railwaytutupgkpgk:)digital,pgkhappynewyearwagon:)hack,2021,4,14,5,5,1666.0,3.0,1,7,35.0,205.0,667.0,2082,14495,9,9,67,18,116.2
wagonhackwagonrailway:)pgk,railwaydigitalpgknewyear:)2022,2022,4,15,13,19,100059.0,3.0,0,8,975.0,102.0,846.0,2974,2135,0,0,5,3,39.7
